EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 31-05-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station ROMANIA, BUCURESTI-BANEASA (STAID: 219).
Blended and updated with sources: 223645 223646 915420 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
223645,19730802,   10,    0
223645,19730803,    8,    0
223645,19730804,    8,    0
223645,19730805,    2,    0
223645,19730806,    9,    0
223645,19730807,   13,    0
223645,19730808,   13,    0
223645,19730809,    7,    0
223645,19730810,   12,    0
223645,19730811,   10,    0
223645,19730812,    5,    0
223645,19730813,   10,    0
223645,19730814,   13,    0
223645,19730815,    7,    0
223645,19730816,   12,    0
223645,19730817,    4,    0
223645,19730818,    8,    0
223645,19730819,    8,    0
223645,19730820,    2,    0
223645,19730821,    8,    0
223645,19730822,   14,    0
223645,19730823,   11,    0
223645,19730824,   11,    0
223645,19730825,    3,    0
223645,19730826,   19,    0
223645,19730827,   18,    0
223645,19730828,   13,    0
223645,19730829,   12,    0
223645,19730830,    8,    0
223645,19730831,    3,    0
223645,19730901,    8,    0
223645,19730902,    7,    0
223645,19730903,    7,    0
223645,19730904,    9,    0
223645,19730905,    9,    0
223645,19730906,    2,    0
223645,19730907,    7,    0
223645,19730908,    5,    0
223645,19730909,    3,    0
223645,19730910,    5,    0
223645,19730911,   19,    0
223645,19730912,    4,    0
223645,19730913,   25,    0
223645,19730914,   11,    0
223645,19730915,    2,    0
223645,19730916,    6,    0
223645,19730917,    4,    0
223645,19730918,   38,    0
223645,19730919,   30,    0
223645,19730920,   20,    0
223645,19730921,    7,    0
223645,19730922,    7,    0
223645,19730923,   12,    0
223645,19730924,   16,    0
223645,19730925,   20,    0
223645,19730926,   22,    0
223645,19730927,   31,    0
223645,19730928,   17,    0
223645,19730929,   14,    0
223645,19730930,    2,    0
223645,19731001,    9,    0
223645,19731002,    5,    0
223645,19731003,   21,    0
223645,19731004,   16,    0
223645,19731005,   19,    0
223645,19731006,   13,    0
223645,19731007,   18,    0
223645,19731008,   13,    0
223645,19731009,    7,    0
223645,19731010,    9,    0
223645,19731011,    3,    0
223645,19731012,    7,    0
223645,19731013,   14,    0
223645,19731014,   24,    0
223645,19731015,   13,    0
223645,19731016,   15,    0
223645,19731017,   14,    0
223645,19731018,    8,    0
223645,19731019,   12,    0
223645,19731020,   13,    0
223645,19731021,   12,    0
223645,19731022,   18,    0
223645,19731023,   17,    0
223645,19731024,   19,    0
223645,19731025,   24,    0
223645,19731026,    9,    0
223645,19731027,    3,    0
223645,19731028,    4,    0
223645,19731029,    8,    0
223645,19731030,   19,    0
223645,19731031,   21,    0
223645,19731101,   10,    0
223645,19731102,   15,    0
223645,19731103,    6,    0
223645,19731104,    3,    0
223645,19731105,    5,    0
223645,19731106,   10,    0
223645,19731107,   15,    0
223645,19731108,    7,    0
223645,19731109,    1,    0
223645,19731110,   19,    0
223645,19731111,    8,    0
223645,19731112,    5,    0
223645,19731113,   15,    0
223645,19731114,   16,    0
223645,19731115,   21,    0
223645,19731116,   24,    0
223645,19731117,   17,    0
223645,19731118,   15,    0
223645,19731119,    5,    0
223645,19731120,   29,    0
223645,19731121,   19,    0
223645,19731122,    8,    0
223645,19731123,   13,    0
223645,19731124,   10,    0
223645,19731125,   36,    0
223645,19731126,   17,    0
223645,19731127,    7,    0
223645,19731128,   10,    0
223645,19731129,    7,    0
223645,19731130,    9,    0
223645,19731201,   30,    0
223645,19731202,    6,    0
223645,19731203,    6,    0
223645,19731204,   25,    0
223645,19731205,   25,    0
223645,19731206,   21,    0
223645,19731207,   24,    0
223645,19731208,   17,    0
223645,19731209,   13,    0
223645,19731210,   24,    0
223645,19731211,    4,    0
223645,19731212,   14,    0
223645,19731213,    6,    0
223645,19731214,   17,    0
223645,19731215,   11,    0
223645,19731216,   14,    0
223645,19731217,   23,    0
223645,19731218,   11,    0
223645,19731219,    5,    0
223645,19731220,   11,    0
223645,19731221,    8,    0
223645,19731222,    7,    0
223645,19731223,   10,    0
223645,19731224,    5,    0
223645,19731225,    1,    0
223645,19731226,    5,    0
223645,19731227,   15,    0
223645,19731228,    3,    0
223645,19731229,    6,    0
223645,19731230,   13,    0
223645,19731231,   11,    0
223645,19740101,   22,    0
223645,19740102,   57,    0
223645,19740103,   48,    0
223645,19740104,   44,    0
223645,19740105,   33,    0
223645,19740106,   23,    0
223645,19740107,   12,    0
223645,19740108,   14,    0
223645,19740109,   47,    0
223645,19740110,   62,    0
223645,19740111,   52,    0
223645,19740112,    5,    0
223645,19740113,   25,    0
223645,19740114,    8,    0
223645,19740115,    1,    0
223645,19740116,    9,    0
223645,19740117,   17,    0
223645,19740118,   16,    0
223645,19740119,   13,    0
223645,19740120,   28,    0
223645,19740121,   12,    0
223645,19740122,    3,    0
223645,19740123,    4,    0
223645,19740124,   11,    0
223645,19740125,   27,    0
223645,19740126,   12,    0
223645,19740127,   17,    0
223645,19740128,   10,    0
223645,19740129,   16,    0
223645,19740130,   21,    0
223645,19740131,   24,    0
223645,19740201,   29,    0
223645,19740202,   27,    0
223645,19740203,    4,    0
223645,19740204,   29,    0
223645,19740205,   37,    0
223645,19740206,    8,    0
223645,19740207,   21,    0
223645,19740208,   22,    0
223645,19740209,   19,    0
223645,19740210,   25,    0
223645,19740211,   17,    0
223645,19740212,    7,    0
223645,19740213,   49,    0
223645,19740214,   43,    0
223645,19740215,   24,    0
223645,19740216,   43,    0
223645,19740217,   41,    0
223645,19740218,   37,    0
223645,19740219,   45,    0
223645,19740220,   53,    0
223645,19740221,   12,    0
223645,19740222,   16,    0
223645,19740223,   42,    0
223645,19740224,   83,    0
223645,19740225,   43,    0
223645,19740226,   66,    0
223645,19740227,   45,    0
223645,19740228,   68,    0
223645,19740301,   45,    0
223645,19740302,   51,    0
223645,19740303,   31,    0
223645,19740304,   37,    0
223645,19740305,   58,    0
223645,19740306,  103,    0
223645,19740307,  145,    0
223645,19740308,   55,    0
223645,19740309,   35,    0
223645,19740310,   59,    0
223645,19740311,   58,    0
223645,19740312,   52,    0
223645,19740313,   12,    0
223645,19740314,   12,    0
223645,19740315,   38,    0
223645,19740316,   27,    0
223645,19740317,   37,    0
223645,19740318,   28,    0
223645,19740319,   21,    0
223645,19740320,   24,    0
223645,19740321,   38,    0
223645,19740322,   16,    0
223645,19740323,   23,    0
223645,19740324,   68,    0
223645,19740325,   62,    0
223645,19740326,   18,    0
